cell_id,highway,length_m
9,motorway,3271.986712438582
9,motorway_link,3514.918334679043
9,path,139720.14416863534
9,pedestrian,1325.106094176308
9,primary,12206.219354003126
9,primary_link,36.2799655835442
9,residential,131185.37012058182
9,secondary,17707.585100331165
9,secondary_link,240.07359185865423
9,service,93736.86478990868
9,tertiary,14428.11750329452
9,tertiary_link,111.20037022567058
9,track,9379.102443868285
9,unclassified,1045.7733180437908
10,cycleway,11065.697404009741
10,footway,310163.0291817852
10,living_street,2222.8971816966177
10,motorway,4711.142235554826
10,motorway_link,4536.818515610267
10,path,205640.449234018
10,pedestrian,5180.440375769315
10,primary,14821.529800989667
10,primary_link,427.4644142188329
10,residential,190441.5514423054
10,secondary,56460.572621265805
10,secondary_link,708.708386391678
10,service,122965.1838506829
10,tertiary,24661.75159199047
10,track,3890.5022703846926
10,trunk,16648.3495631556
10,trunk_link,7835.629947806622
10,unclassified,1325.0356636888716
11,cycleway,12846.182777126236
11,footway,309980.8430934773
11,living_street,6697.984677755804
11,path,165720.29550466812
11,pedestrian,3234.229145892595
11,primary,21536.527913291397
11,primary_link,335.10111455078334
11,residential,151864.1434684907
11,secondary,38081.31888652062
11,secondary_link,587.8908340540878
11,service,165173.42262880618
11,tertiary,11632.2729783634
11,tertiary_link,62.8826498263786
11,track,7006.132719894021
11,trunk,11966.187481354329
11,trunk_link,7035.682003055951
11,unclassified,9329.939828384518
12,cycleway,4411.477363790117
12,footway,99581.23289600383
12,living_street,7530.071999634494
12,motorway,10987.560277721102
12,motorway_link,3361.2372202666993
12,path,40740.228517188196
12,pedestrian,631.5013200519784
12,residential,72298.3677627445
12,secondary,13646.832788273297
12,secondary_link,78.81592103179307
12,service,56275.65876032894
12,tertiary,4245.2039241309485
12,tertiary_link,35.071816417255015
12,track,44674.09496271589
12,unclassified,9072.781407405433
13,footway,88.25048722562633
13,path,394.9556273366474
13,residential,862.5427053332129
13,service,1541.2093079838596
13,track,2645.8722846439296
13,unclassified,904.3320287575142
14,cycleway,2547.2918603676194
14,footway,88082.1552168544
14,living_street,1180.0867330956612
14,motorway,5861.963030699304
14,motorway_link,598.1559033651913
14,path,72014.96691620021
14,pedestrian,973.4884746077493
14,primary,702.9820919168882
14,residential,69495.5789956682
14,secondary,19916.161733390003
14,secondary_link,454.6535487465163
14,service,46807.22402602392
14,tertiary,5320.034948908505
14,track,2591.5653612614633
14,trunk,2474.821367538198
14,trunk_link,253.1606286025919
14,unclassified,822.7850469479854
15,cycleway,18175.303599428804
15,footway,407970.0331246486
15,living_street,1432.7461836768127
15,motorway,1850.827147440596
15,motorway_link,3105.2640159387643
15,path,165205.84918403672
15,pedestrian,31892.8748966491
15,primary,9378.189484296194
15,primary_link,30.855243729039042
15,residential,192188.45908025024
15,secondary,82515.7442809421
15,secondary_link,1875.5147069275372
15,service,140275.60160777887
15,tertiary,17889.412081937597
15,tertiary_link,143.30130575644395
15,track,455.28567191909235
15,trunk,13674.41359546869
15,trunk_link,3981.9115775927453
15,unclassified,4085.7995507964906
16,cycleway,10858.313746557511
16,footway,300688.64306941617
16,living_street,1309.8822302131507
16,motorway,6170.684781106081
16,motorway_link,4193.206967752879
16,path,175488.80133920163
16,pedestrian,5797.212768742079
16,primary,15132.473439044063
16,primary_link,111.59480900507607
16,residential,162685.16845941643
16,secondary,43860.132212320015
16,secondary_link,496.87127810903536
16,service,144023.54017140713
16,tertiary,8001.77324861254
16,track,8198.046285457498
16,trunk,15937.942503986096
16,trunk_link,7963.03676825218
16,unclassified,3913.9918544672755
17,cycleway,2925.903857123637
17,footway,96286.77468415088
17,living_street,4990.45802562838
17,motorway,13793.901202843468
17,motorway_link,11182.56321505732
17,path,83253.72983599784
17,pedestrian,6158.040740400729
17,primary,4161.914620893077
17,primary_link,27.853656682788674
17,residential,58072.017934967545
17,secondary,9502.156582601912
17,secondary_link,74.18204163588855
17,service,96393.8201363878
17,tertiary,5741.3253336345315
17,tertiary_link,228.7676686123336
17,track,29793.641184599408
17,unclassified,3426.851451749989
18,cycleway,276.299095955325
18,footway,77350.76472221338
18,living_street,5198.399841601413
18,path,109436.28453501171
18,pedestrian,914.726888607169
18,residential,61602.90179278455
18,secondary,14963.494101011824
18,secondary_link,185.80936732714528
18,service,61233.855797821234
18,tertiary,2724.5781948502317
18,tertiary_link,262.25903232278023
18,track,14145.238711731034
18,unclassified,3135.9023460863386
19,cycleway,9320.145198765733
19,footway,202639.5595404932
19,living_street,6463.302283162803
19,motorway,10306.168221691672
19,motorway_link,5791.933147481404
19,path,147815.11860373238
19,pedestrian,2664.338551204642
19,primary,10460.031688683608
19,residential,140434.48552488838
19,secondary,34485.77335465401
19,secondary_link,779.9816626061262
19,service,127621.9802257751
19,tertiary,25576.415228937272
19,tertiary_link,126.06327146319366
19,track,10673.285698782629
19,trunk,3636.6633367897593
19,trunk_link,1857.5457880300048
19,unclassified,9108.694005047222
20,cycleway,1596.1762528845072
20,footway,62783.158964625276
20,living_street,1996.4618780459803
20,path,47715.98572418864
20,pedestrian,583.9257086560245
20,residential,39792.06159441948
20,secondary,9629.89925430226
20,secondary_link,18.655120999146032
20,service,25783.153666980055
20,tertiary,4625.101210669154
20,track,26699.150286918695
20,trunk,1432.4625183719763
20,trunk_link,857.2507931826217
20,unclassified,9683.902300449292
21,cycleway,281.29117530739336
21,footway,1366.5233112342805
21,motorway,3097.81131484161
21,motorway_link,1770.3537946947085
21,path,9743.683851984913
21,residential,1345.557441402713
21,secondary,1629.2782480442906
21,service,7312.1691751505805
21,track,15158.257074571471
22,cycleway,484.7336322934783
22,footway,421.82341200873634
22,path,2147.146170770242
22,residential,1062.301494047766
22,service,285.26179452163814
22,track,862.9936728222525
23,cycleway,10773.328280720143
23,footway,53773.490090030624
23,living_street,265.48531705030103
23,motorway,2130.4174640711544
23,motorway_link,1646.7140410681611
23,path,14779.46664050485
23,pedestrian,375.10442960967305
23,primary,3798.4526720490876
23,residential,29299.212115420825
23,secondary,5442.882073628856
23,secondary_link,48.541879090512786
23,service,40352.68569490267
23,tertiary,3079.7630436453464
23,track,1879.676521710501
23,trunk,272.84966290007446
23,unclassified,2281.7926011224076
24,track,486.63091447281886
24,trunk,77.40064311051327
